angles,alemany,catala,espanyol,frances,italia,polones,portugues,rus,suec
soldier,Soldat,soldat,soldado,soldat,soldato,żołnierz,soldado,солдат,soldat
process,Prozess,procés,proceso,traiter,processi,proces,processo,процесс,bearbeta
operate,arbeiten,operar,funcionar,fonctionner,operare,obsługiwać,operar,работать,fungera
practice,trainieren,pràctica,práctica,pratique,la pratica,ćwiczyć,prática,упражняться,öva
separate,getrennt,separada,separado,séparé,separato,oddzielny,separado,отдельный,separat
difficult,schwierig,difícil,difícil,difficile,difficile,trudny,difícil,сложно,svår
doctor,Arzt,metge,médico,docteur,medico,lekarz,médico,доктор,läkare
please,bitte,plau,por favor,s'il vous plaît,per favore,Proszę,por favor,пожалуйста,snälla du
protect,beschützen,protegir,proteger,protéger,proteggere,chronić,proteger,защищать,skydda
noon,Mittag,migdia,mediodía,midi,mezzogiorno,południe,meio-dia,полдень,middag
crop,Ernte,cultius,cultivo,recadrer,Ritaglia,przyciąć,colheita,обрезать,beskära
modern,modern,moderna,moderno,moderne,moderno,nowoczesny,moderno,современный,modern
element,Element,element,elemento,élément,elemento,element,elemento,элемент,element
hit,Schlag,colpejar,pegar,succès,colpo,uderzyć,acertar,хит,träffa
student,Schüler,estudiant,alumno,étudiant,alunno,student,aluna,ученик,studerande
corner,Ecke,cantonada,esquina,coin,angolo,narożnik,canto,угол,hörn
party,Party,partit,fiesta,faire la fête,festa,przyjęcie,Festa,партия,fest
supply,liefern,subministrament,suministro,la fourniture,la fornitura,dostarczać,fornecer,поставлять,tillförsel
whose,Deren,el,cuyo,à qui,il cui,którego,de quem,чья,vars
locate,Lokalisieren,localitzar,localizar,Localiser,individuare,Znajdź,localizar,найти,lokalisera
ring,Ring,anell,anillo,bague,squillo,dzwonić,anel,звенеть,ringa
character,Charakter,caràcter,personaje,personnage,carattere,postać,personagem,персонаж,karaktär
insect,Insekt,insectes,insecto,insecte,insetto,owad,inseto,насекомое,insekt
caught,erwischt,capturat,capturado,attrapé,catturato,złapany,apanhado,пойманный,fångad
period,Zeitraum,període,período,période,periodo,Kropka,período,период,period
indicate,angeben,indicar,indicar,indiquer,indicare,wskazać,indicar,указывать,ange
radio,Radio,ràdio,radio,radio,Radio,radio,rádio,радио,radio
spoke,gesprochen,parlar,habló,parlait,ha parlato,przemówił,falou,говорил,eker
atom,Atom,àtom,átomo,atome,atomo,atom,átomo,атом,atom
human,Mensch,humà,humano,Humain,umano,człowiek,humano,человек,mänsklig
history,Geschichte,història,historia,l'histoire,storia,historia,história,история,historia
effect,Wirkung,efecte,efecto,effet,effetto,efekt,efeito,эффект,effekt
electric,elektrisch,elèctrica,eléctrico,électrique,elettrico,elektryczny,elétrico,электрический,elektrisk
expect,erwarten von,esperar,suponer,attendre,aspettare,oczekiwać,Espero,ожидать,förvänta
bone,Knochen,os,hueso,os,osso,kość,osso,кость,ben
rail,Schiene,ferrocarril,carril,rail,rotaia,szyna,trilho,железнодорожный,järnväg
imagine,vorstellen,imaginar,imaginar,imaginer,immaginare,wyobrażać sobie,Imagine,представить,tänka
provide,zur Verfügung stellen,proporcionar,proveer,apporter,fornire,dostarczać,providenciar,предоставлять,förse
agree,zustimmen,acord,aceptar,Je suis d'accord,essere d'accordo,Zgodzić się,aceita,соглашаться,hålla med
thus,daher,pertant,de este modo,Donc,così,zatem,portanto,таким образом,Således
gentle,sanft,suau,amable,doux,gentile,delikatny,□ Gentil,нежный,mild
woman,Frau,dona,mujer,femme,donna,kobieta,mulher,женщина,kvinna
captain,Kapitän,capità,capitán,capitaine,Capitano,kapitan,capitão,капитан,kapten
guess,erraten,endevinar,adivinar,deviner,indovinare,zgadywać,acho,предполагать,gissa
necessary,notwendig,necessari,necesario,nécessaire,necessario,niezbędny,necessário,необходимый,nödvändig
sharp,Scharf,agut,agudo,tranchant,affilato,ostry,afiado,острый,skarp
wing,Flügel,ala,ala,aile,ala,skrzydło,asa,крыло,vinge
create,schaffen,crear,crear,créer,creare,Stwórz,crio,Создайте,skapa
neighbor,Nachbar,veí,Vecino,voisine,vicino di casa,sąsiad,vizinho,сосед,granne
wash,waschen,rentat,lavar,lavage,lavare,myć się,lavagem,мыть,tvätta
bat,Schläger,bat,murciélago,chauve souris,pipistrello,nietoperz,bastão,летучая мышь,fladdermus
rather,eher,lloc,bastante,plutôt,piuttosto,raczej,em vez de,скорее,snarare
crowd,Menge,multitud,multitud,foule,folla,tłum,multidão,толпа,folkmassan
corn,Mais,blatdemoro,maíz,maïs,Mais,kukurydza,milho,кукуруза,majs
compare,vergleichen,comparar,comparar,comparer,confrontare,porównywać,comparar,сравнивать,jämföra
poem,Gedicht,poema,poema,poème,poesia,wiersz,poema,стих,dikt
string,Saite,string,cuerda,chaîne de caractères,corda,strunowy,corda,нить,sträng
bell,Glocke,campana,campana,cloche,campana,dzwon,Sino,колокол,klocka
depend,abhängen,dependrà,depender,dépendre,dipendere,zależeć,depender,зависеть,bero
meat,Fleisch,carn,carne,Viande,la carne,mięso,eu no,мясо,kött
rub,reiben,rub,frotar,frotter,strofinare,pocierać,esfregar,натирать,gnugga
tube,Rohr,tub,tubo,tube,tubo,rura,tubo,трубка,rör
famous,berühmt,famosa,famoso,célèbre,famoso,słynny,famoso,известный,känd
dollar,Dollar,dòlar,dólar,dollar,dollaro,dolar,dólar,доллар,dollar
stream,Strom,corrent,corriente,flux,flusso,strumień,fluxo,ручей,ström
fear,Furcht,por,miedo,craindre,paura,strach,temer,страх,rädsla
sight,Sicht,vista,visión,vue,vista,widok,visão,зрение,syn
thin,dünn,prima,delgada,mince,sottile,cienki,fino,тонкий,tunn
triangle,Dreieck,triangle,triángulo,Triangle,triangolo,trójkąt,triângulo,треугольник,triangel
planet,Planet,planeta,planeta,planète,pianeta,planeta,planeta,планета,planet
hurry,sich beeilen,pressa,apuro,dépêche toi,fretta,spieszyć się,pressa,торопиться,skynda
chief,Chef,cap,jefe,chef,capo,szef,chefe,главный,chef
colony,Kolonie,colònia,colonia,colonie,colonia,kolonia,colônia,колония,koloni
clock,Uhr,rellotge,reloj,l'horloge,orologio,zegar,relógio,Часы,klocka
mine,Mine,mina,mía,mien,il mio,moje,minha,мой,mina
tie,binden,empat,Corbata,cravate,legare,krawat,gravata,галстук,slips
enter,Eintreten,entrar,ingresar,Entrer,accedere,wejść,digitar,войти,stiga på
major,Haupt,important,importante,Majeur,principale,poważny,formar-se,главный,större
fresh,frisch,fresc,nuevo,Frais,fresco,świeży,fresco,свежий,färsk
search,Suche,cerca,búsqueda,chercher,ricerca,Szukaj,procurar,поиск,Sök
send,senden,enviar,enviar,envoyer,inviare,wysłać,mandar,Отправить,skicka
yellow,gelb,groc,amarillo,jaune,giallo,żółty,amarelo,желтый,gul
gun,Pistole,arma,pistola,pistolet,pistola,pistolet,arma de fogo,пистолет,pistol
allow,ermöglichen,permetre,permitir,Autoriser,permettere,umożliwić,permitir,разрешать,tillåta
print,drucken,print,impresión,imprimer,Stampa,wydrukować,imprimir,Распечатать,skriva ut
dead,tot,morts,muerto,morte,morto,nie żyje,morto,мертвых,död
spot,Stelle,lloc,lugar,endroit,macchiare,miejsce,ver,место,fläck
desert,Wüste,desert,Desierto,désert,deserto,pustynia,deserto,пустыня,öken-
suit,passen,vestit,traje,costume,completo da uomo,garnitur,Traje,подходить,kostym
current,aktuell,actual,Actual,courant,attuale,obecny,atual,Текущий,nuvarande
lift,Aufzug,ascensor,levantar,lever,sollevare,winda,levantar,поднимать,hiss
rose,Rose,rosa,rosa,Rose,rosa,Róża,rosa,Роза,reste sig
arrive,ankommen,arribar,llegar,arriver,arrivare,przyjechać,chegar,прибыть,anlända
master,Meister,màster,Maestro,Maître,maestro,gospodarz,mestre,мастер,bemästra
track,Spur,pista,pista,Piste,traccia,tor,acompanhar,отслеживать,Spår
parent,Elternteil,pare,padre,parent,genitore,rodzic,pai,родительский,förälder
shore,Ufer,riba,costa,rive,costa,Wybrzeże,costa,берег,Strand
division,Aufteilung,divisió,división,division,divisione,podział,divisão,разделение,division
sheet,Blech,full,sábana,feuille,foglio,arkusz,Folha,лист,ark
substance,Substanz,substància,sustancia,substance,sostanza,substancja,substância,вещество,ämne
favor,favorisieren,afavorir,favor,favoriser,favore,przychylność,Favor,услуга,förmån
connect,verbinden,connectar,conectar,relier,Collegare,łączyć,conectar,соединять,ansluta
post,Post,missatge,correo,Publier,inviare,Poczta,publicar,почта,posta
spend,verbringen,passar,gastar,dépenser,Spendere,spędzić,gasta,проводить,spendera
chord,Akkord,acord,acorde,accord,accordo,akord,acorde,аккорд,ackord
fat,fett,greix,grasa,gros,Grasso,tłuszcz,gordo,толстый,fett
glad,froh,content,contento,content,lieto,zadowolony,alegre,радостный,glad
original,Original,originals,original,original,originale,oryginał,original,оригинал,original-
share,Teilen,quota,Cuota,partager,Condividere,dzielić,compartilhar,Поделиться,dela med sig
station,Bahnhof,estació,estación,station,stazione,stacja,estação,станция,station
dad,Papa,pare,papá,papa,papà,tata,Papai,папа,pappa
bread,brot,pa,pan de molde,pain,pane,chleb,pão,хлеб,bröd
charge,aufladen,cobrar,cobrar,charge,carica,opłata,carregar,обвинение,avgift
proper,richtig,adequada,correcto,correct,corretto,właściwy,apropriado,правильный,rätt
bar,Bar,bar,bar,bar,sbarra,bar,bar,бар,bar
offer,Angebot,oferta,oferta,offrir,offerta,oferta,oferta,предложение,erbjudande
segment,Segment,segment,segmento,segment,segmento,człon,segmento,сегмент,segmentet
slave,Sklave,esclau,esclavo,trimer,schiavo,niewolnik,escravo,раб,slav
duck,Ente,ànec,pato,canard,anatra,kaczka,pato,утка,Anka
instant,sofortig,instantània,instante,instantané,immediato,natychmiastowy,instante,мгновенный,omedelbar
market,Markt,mercat,mercado,marché,mercato,rynek,mercado,рынок,marknadsföra
degree,Grad,grau,la licenciatura,diplôme,livello,stopień,grau,степень,grad
populate,bevölkern,poblar,poblar,peupler,popolare,zaludniać,preencher,заполнять,befolka
chick,Küken,chick,polluelo,poussin,pulcino,pisklę,Chick,птенца,brud
dear,Liebling,estimada,Estimado,chère,caro,droga,caro,Уважаемые,Kära
enemy,Feind,enemic,enemigo,ennemi,nemico,wróg,inimigo,враг,fiende
reply,Antwort,respondre,respuesta,Réponse,rispondere,Odpowiadać,responder,Ответить,svar
drink,Getränk,beguda,beber,boisson,bere,drink,beber,напиток,dryck
occur,geschehen,produir,ocurrir,se produire,verificarsi,zdarzać się,ocorrer,происходить,inträffa
support,Unterstützung,suport,apoyo,Support,sostegno,Pomoc,apoio,поддерживать,Stöd
speech,Rede,discurs,discurso,parole,discorso,przemówienie,Fala,речь,Tal
nature,Natur,naturalesa,naturaleza,la nature,natura,Natura,natureza,природа,natur
range,Angebot,gamma,rango,intervalle,gamma,zasięg,variar,диапазон,räckvidd
steam,Dampf,vapor,vapor,vapeur,vapore,parowy,vapor,готовить на пару,ånga
motion,Bewegung,moviment,movimiento,mouvement,movimento,ruch,movimento,движение,rörelse
path,Weg,camí,sendero,chemin,sentiero,ścieżka,caminho,дорожка,väg
liquid,Flüssigkeit,líquid,líquido,liquide,liquido,płyn,líquido,жидкость,flytande
log,Protokoll,log,Iniciar sesión,Journal,tronco d'albero,dziennik,registro,журнал,logga
meant,gemeint,significat,quiso decir,censé,significava,oznaczał,significou,имел ввиду,avsiktlig
quotient,Quotient,quocient,cociente,quotient,quoziente,iloraz,quociente,коэффициент,kvot
teeth,Zähne,dents,dientes,les dents,denti,zęby,dentes,зубы,tänder
shell,Hülse,intèrpret,caparazón,coquille,guscio,powłoka,Concha,оболочка,skal
neck,Nacken,coll,cuello,cou,collo,szyja,pescoço,шея,nacke
oxygen,Sauerstoff,oxigen,oxígeno,oxygène,ossigeno,tlen,oxigênio,кислород,syre
sugar,Zucker,sucre,azúcar,du sucre,zucchero,cukier,açúcar,сахар,socker
death,Tod,mort,muerte,décès,Morte,śmierć,morte,смерть,död
pretty,hübsch,bastant,bonita,jolie,bello,ładny,bonito,Симпатичная,Söt
skill,Können,habilitat,habilidad,compétence,abilità,umiejętność,habilidade,навык,skicklighet
women,Frauen,dones,mujeres,femmes,donne,kobiety,mulheres,женщины,kvinnor
season,Jahreszeit,temporada,temporada,saison,stagione,pora roku,estação,время года,säsong
solution,Lösung,solució,solución,la solution,soluzione,rozwiązanie,solução,решение,lösning
magnet,Magnet,imant,imán,aimant,magnete,magnes,magnético,магнит,magnet
silver,Silber-,plata,plata,argent,d'argento,srebro,prata,Серебряный,silver-
thank,danken,gràcies,gracias,remercier,Grazie,dziękować,obrigado,благодарить,tacka
branch,Zweig,branca,rama,bifurquer,ramo,oddział,ramo,ответвляться,gren
match,passen,partit,juego,match,incontro,mecz,Combine,соответствие,match
suffix,Suffix,sufix,sufijo,suffixe,suffisso,przyrostek,sufixo,суффикс,ändelse
especially,besonders,especialment,especialmente,surtout,specialmente,szczególnie,especialmente,особенно,framförallt
fig,Feige,figa,higo,figure,Figura,Figa,FIG,Рис,fikon
afraid,besorgt,por,atemorizado,peur,paura,przestraszony,com medo,боюсь,rädd
huge,riesig,enorme,enorme,énorme,enorme,olbrzymi,enorme,огромный,enorm
sister,Schwester,germana,hermana,sœur,sorella,siostra,irmã,сестра,syster
steel,Stahl,acer,acero,acier,acciaio,stal,aço,стали,stål
discuss,diskutieren,discutir,conversar,discuter,discutere,omówić,discutir,обсуждать,diskutera
forward,nach vorne,endavant,delantero,vers l'avant,inoltrare,Naprzód,frente,вперед,fram-
similar,ähnlich,similars,similar,similaire,simile,podobny,semelhante,похожий,liknande
guide,führen,guiar,guía,guide,guida,przewodnik,guia,руководство,guide
experience,Erfahrung,experiència,experiencia,vivre,Esperienza,doświadczenie,experiência,опыт,erfarenhet
score,Punktzahl,puntuació,puntaje,score,punto,wynik,pontuação,счет,Göra
apple,Apfel,poma,manzana,Pomme,mela,jabłko,maçã,яблоко,äpple
bought,gekauft,comprat,comprado,acheté,comprato,kupił,comprado,купленный,köpt
led,LED,LED,dirigió,LED,portato,doprowadziło,conduziu,вел,led
pitch,Tonhöhe,pitch,tono,terrain,intonazione,poziom,tom,подача,tonhöjd
coat,Mantel,abric,Saco,manteau,cappotto,płaszcz,casaco,Пальто,täcka
mass,Masse,massa,masa,Masse,messa,masa,massa,масса,massa
card,Karte,targeta,tarjeta,carte,carta,karta,cartão,открытка,kort
band,Band,banda,banda,bande,gruppo musicale,pasmo,banda,группа,band
rope,Seil,corda,soga,corde,corda,lina,corda,веревка,rep
slip,Unterhose,lliscament,deslizar,caleçon,scontrino,poślizg,escorregar,соскальзывать,glida
win,gewinnen,victòria,victoria,gagner,vincita,wygrać,ganhar,победить,vinna
dream,Traum,somiar,sueño,rêver,sognare,śnić,Sonhe,мечтать,dröm
evening,Abend,nit,tardecita,soirée,sera,wieczór,tarde,вечер,kväll
condition,Bedingung,condició,condición,condition,condizione,stan,doença,условие,skick
feed,Einspeisung,feed,alimento,nourrir,alimentazione,karmić,alimentação,подача,utfodra
tool,Werkzeug,eina,herramienta,outil,attrezzo,narzędzie,ferramenta,инструмент,verktyg
basic,Basic,bàsica,básico,de base,di base,podstawowy,básico,базовый,grundläggande
smell,Geruch,olor,oler,sentir,odore,zapach,cheiro,запах,lukt
valley,Senke,vall,Valle,vallée,valle,dolina,vale,долина,dal
nor,Noch,ni,ni,ni,né,ani,nem,ни,inte heller
double,doppelt,doble,doble,double,Doppio,podwójnie,em dobro,двойной,dubbel
seat,Sitz,seient,asiento,siège,posto a sedere,siedzenie,assento,сиденье,sittplats
continue,fortsetzen,continuar,Seguir,Continuez,Continua,kontynuować,Prosseguir,Продолжать,Fortsätta
block,Block,bloc,bloquear,bloquer,bloccare,blok,quadra,блокировать,blockera
chart,Diagramm,taula,cuadro,graphique,grafico,wykres,gráfico,диаграмма,Diagram
hat,Hut,barret,sombrero,chapeau,cappello,kapelusz,chapéu,шляпа,hatt
sell,verkaufen,vendre,vender,vendre,vendere,Sprzedać,vender,продавать,sälja
success,Erfolg,èxit,éxito,Succès,successo,powodzenie,sucesso,успех,Framgång
company,Gesellschaft,empresa,empresa,compagnie,azienda,firma,companhia,Компания,företag
subtract,subtrahieren,restar,sustraer,soustraire,sottrarre,odejmować,subtrair,вычтите,subtrahera
event,Veranstaltung,esdeveniment,evento,un événement,evento,wydarzenie,evento,мероприятие,händelse
particular,besondere,particular,especial,particulier,particolare,konkretny,especial,конкретный,särskild
deal,handeln,acord,acuerdo,accord,affare,sprawa,acordo,иметь дело,handla
swim,schwimmen,nedar,nadar,baignade,nuotare,pływać,nadar,плавать,simma
term,Begriff,termini,término,terme,termine,termin,prazo,срок,termin
opposite,Gegenteil,oposada,opuesto,opposé,di fronte,naprzeciwko,oposto,противоположный,motsatt
wife,Ehefrau,dona,esposa,épouse,moglie,żona,esposa,жена,fru
shoe,Schuh,sabata,zapato,chaussure,scarpa,but,sapato,обувь,sko
shoulder,Schulter,espatlla,hombro,épaule,spalla,ramię,ombro,плечо,axel
spread,Verbreitung,propagació,untado,se propager,differenza,rozpiętość,espalhar,распространять,spridning
arrange,arrangieren,organitzar,arreglar,organiser,organizzare,zorganizować,arranjo,договариваться,ordna
camp,Lager,campament,acampar,camp,campo,obóz,acampamento,лагерь,läger
invent,erfinden,inventar,inventar,inventer,inventare,wymyślać,inventar,изобретать,uppfinna
cotton,Baumwolle,cotó,algodón,coton,cotone,bawełna,algodão,хлопок,bomull
born,geboren,born,nacido,née,Nato,urodzić się,nascido,Родился,född
determine,bestimmen,determinar,determinar,déterminer,determinare,określać,determinar,определять,bestämma
quart,Quart,quart,cuarto de galón,litre,Quart,kwarta,Quart,лист,quart
nine,neun,còlera,nueve,neuf,nove,dziewięć,nove,девять,nio
truck,LKW,camió,camión,un camion,camion,ciężarówka,caminhão,грузовая машина,lastbil
noise,Lärm,soroll,ruido,bruit,rumore,hałas,ruído,шум,ljud
level,eben,nivell,nivel,niveau,livello,poziom,nível,уровень,nivå
chance,Chance,oportunitat,oportunidad,chance,opportunità,szansa,chance,шанс,chans
gather,versammeln,reunir,recolectar,rassembler,mettere insieme,zebrać,reunir,собирать,samla
shop,Geschäft,botiga,tienda,magasin,negozio,sklep,fazer compras,магазин,affär
stretch,strecken,estirament,tramo,extensible,stirata,rozciągać się,esticar,протяжение,sträcka
throw,Wurf,llançar,lanzar,jeter,gettare,rzucić,lançar,бросать,kasta
shine,scheinen,brillantor,brillar,briller,splendore,połysk,brilhar,светить,glans
property,Eigentum,propietat,propiedad,propriété,proprietà,własność,propriedade,имущество,fast egendom
column,Säule,columna,columna,colonne,colonna,kolumna,coluna,столбец,kolumn
molecule,Molekül,molècula,molécula,molécule,molecola,cząsteczka,molécula,молекула,molekyl
select,auswählen,seleccioneu,Seleccione,sélectionner,Selezionare,Wybierz,Selecione,Выбрать,Välj
wrong,falsch,mal,equivocado,mauvais,sbagliato,zło,errado,неправильный,fel
gray,grau,gris,gris,grise,grigio,szary,cinzento,серый,grå
repeat,wiederholen,repeteixi,repetir,répéter,ripetere,powtarzać,repetir,повторение,upprepa
require,benötigen,requerir,requerir,exiger,richiedere,wymagać,exigir,требовать,behöva
broad,breit,ampli,amplio,vaste,ampio,szeroki,largo,широкий,bred
prepare,vorbereiten,preparar,preparar,préparer,preparare,przygotować,preparar,подготовить,förbereda
salt,Salz,sal,sal,sel,sale,Sól,sal,соль,salt-
nose,Nase,nas,nariz,nez,naso,nos,nariz,нос,näsa
plural,Plural-,plural,plural,pluriel,plurale,mnogi,plural,множественное число,flertal
anger,Wut,còlera,enfado,colère,la rabbia,gniew,raiva,злость,ilska
claim,Klage,reclamació,reclamar,réclamer,reclamo,prawo,alegar,требовать,krav
continent,Kontinent,continent,continente,continent,continente,kontynent,continente,континент,kontinent
