angles,catala,espanyol,alemany,frances,polones,portugues,romanes,italia,suec
danger,perill,peligro,Achtung,danger,zagrożenie,perigo,Pericol,Pericolo,fara
fruit,fruita,Fruta,Obst,fruit,owoc,fruta,fructe,frutta,frukt
rich,rica,rico,Reich,riche,bogaty,rico,bogat,ricco,rik
thick,gruix,grueso,dick,épais,gruby,espesso,gros,spesso,tjock
soldier,soldat,soldado,Soldat,soldat,żołnierz,soldado,soldat,soldato,soldat
process,procés,proceso,Prozess,traiter,proces,processo,proces,processi,bearbeta
operate,operar,funcionar,arbeiten,fonctionner,obsługiwać,operar,a functiona,operare,fungera
practice,pràctica,práctica,trainieren,pratique,ćwiczyć,prática,practică,la pratica,öva
separate,separada,separado,getrennt,séparé,oddzielny,separado,separa,separato,separat
difficult,difícil,difícil,schwierig,difficile,trudny,difícil,dificil,difficile,svår
doctor,metge,médico,Arzt,docteur,lekarz,médico,doctor,medico,läkare
please,plau,por favor,bitte,s'il vous plaît,Proszę,por favor,Vă rog,per favore,snälla du
protect,protegir,proteger,beschützen,protéger,chronić,proteger,proteja,proteggere,skydda
noon,migdia,mediodía,Mittag,midi,południe,meio-dia,amiază,mezzogiorno,middag
crop,cultius,cultivo,Ernte,recadrer,przyciąć,colheita,a decupa,Ritaglia,beskära
modern,moderna,moderno,modern,moderne,nowoczesny,moderno,modern,moderno,modern
element,element,elemento,Element,élément,element,elemento,element,elemento,element
hit,colpejar,pegar,Schlag,succès,uderzyć,acertar,lovit,colpo,träffa
student,estudiant,alumno,Schüler,étudiant,student,aluna,student,alunno,studerande
corner,cantonada,esquina,Ecke,coin,narożnik,canto,colţ,angolo,hörn
party,partit,fiesta,Party,faire la fête,przyjęcie,Festa,parte,festa,fest
supply,subministrament,suministro,liefern,la fourniture,dostarczać,fornecer,livra,la fornitura,tillförsel
whose,el,cuyo,Deren,à qui,którego,de quem,a caror,il cui,vars
locate,localitzar,localizar,Lokalisieren,Localiser,Znajdź,localizar,localiza,individuare,lokalisera
ring,anell,anillo,Ring,bague,dzwonić,anel,inel,squillo,ringa
character,caràcter,personaje,Charakter,personnage,postać,personagem,caracter,carattere,karaktär
insect,insectes,insecto,Insekt,insecte,owad,inseto,insectă,insetto,insekt
caught,capturat,capturado,erwischt,attrapé,złapany,apanhado,prins,catturato,fångad
period,període,período,Zeitraum,période,Kropka,período,perioadă,periodo,period
indicate,indicar,indicar,angeben,indiquer,wskazać,indicar,indica,indicare,ange
radio,ràdio,radio,Radio,radio,radio,rádio,radio,Radio,radio
spoke,parlar,habló,gesprochen,parlait,przemówił,falou,vorbit,ha parlato,eker
atom,àtom,átomo,Atom,atome,atom,átomo,atom,atomo,atom
human,humà,humano,Mensch,Humain,człowiek,humano,uman,umano,mänsklig
history,història,historia,Geschichte,l'histoire,historia,história,istorie,storia,historia
effect,efecte,efecto,Wirkung,effet,efekt,efeito,efect,effetto,effekt
electric,elèctrica,eléctrico,elektrisch,électrique,elektryczny,elétrico,electric,elettrico,elektrisk
expect,esperar,suponer,erwarten von,attendre,oczekiwać,Espero,aştepta,aspettare,förvänta
bone,os,hueso,Knochen,os,kość,osso,os,osso,ben
rail,ferrocarril,carril,Schiene,rail,szyna,trilho,calea ferată,rotaia,järnväg
imagine,imaginar,imaginar,vorstellen,imaginer,wyobrażać sobie,Imagine,imagina,immaginare,tänka
provide,proporcionar,proveer,zur Verfügung stellen,apporter,dostarczać,providenciar,furnizați,fornire,förse
agree,acord,aceptar,zustimmen,Je suis d'accord,Zgodzić się,aceita,de acord,essere d'accordo,hålla med
thus,pertant,de este modo,daher,Donc,zatem,portanto,prin urmare,così,Således
gentle,suau,amable,sanft,doux,delikatny,□ Gentil,blând,gentile,mild
woman,dona,mujer,Frau,femme,kobieta,mulher,femeie,donna,kvinna
captain,capità,capitán,Kapitän,capitaine,kapitan,capitão,căpitan,Capitano,kapten
guess,endevinar,adivinar,erraten,deviner,zgadywać,acho,ghici,indovinare,gissa
necessary,necessari,necesario,notwendig,nécessaire,niezbędny,necessário,necesar,necessario,nödvändig
sharp,agut,agudo,Scharf,tranchant,ostry,afiado,ascuțit,affilato,skarp
wing,ala,ala,Flügel,aile,skrzydło,asa,aripă,ala,vinge
create,crear,crear,schaffen,créer,Stwórz,crio,crea,creare,skapa
neighbor,veí,Vecino,Nachbar,voisine,sąsiad,vizinho,vecin,vicino di casa,granne
wash,rentat,lavar,waschen,lavage,myć się,lavagem,spalare,lavare,tvätta
bat,bat,murciélago,Schläger,chauve souris,nietoperz,bastão,băţ,pipistrello,fladdermus
rather,lloc,bastante,eher,plutôt,raczej,em vez de,mai degraba,piuttosto,snarare
crowd,multitud,multitud,Menge,foule,tłum,multidão,mulțime,folla,folkmassan
corn,blatdemoro,maíz,Mais,maïs,kukurydza,milho,porumb,Mais,majs
compare,comparar,comparar,vergleichen,comparer,porównywać,comparar,comparaţie,confrontare,jämföra
poem,poema,poema,Gedicht,poème,wiersz,poema,poem,poesia,dikt
string,string,cuerda,Saite,chaîne de caractères,strunowy,corda,şir,corda,sträng
bell,campana,campana,Glocke,cloche,dzwon,Sino,clopot,campana,klocka
depend,dependrà,depender,abhängen,dépendre,zależeć,depender,depinde,dipendere,bero
meat,carn,carne,Fleisch,Viande,mięso,eu no,carne,la carne,kött
rub,rub,frotar,reiben,frotter,pocierać,esfregar,freca,strofinare,gnugga
tube,tub,tubo,Rohr,tube,rura,tubo,tub,tubo,rör
famous,famosa,famoso,berühmt,célèbre,słynny,famoso,faimos,famoso,känd
dollar,dòlar,dólar,Dollar,dollar,dolar,dólar,dolar,dollaro,dollar
stream,corrent,corriente,Strom,flux,strumień,fluxo,curent,flusso,ström
fear,por,miedo,Furcht,craindre,strach,temer,frică,paura,rädsla
sight,vista,visión,Sicht,vue,widok,visão,vedere,vista,syn
thin,prima,delgada,dünn,mince,cienki,fino,subţire,sottile,tunn
triangle,triangle,triángulo,Dreieck,Triangle,trójkąt,triângulo,triunghi,triangolo,triangel
planet,planeta,planeta,Planet,planète,planeta,planeta,planetă,pianeta,planet
hurry,pressa,apuro,sich beeilen,dépêche toi,spieszyć się,pressa,grabă,fretta,skynda
chief,cap,jefe,Chef,chef,szef,chefe,şef,capo,chef
colony,colònia,colonia,Kolonie,colonie,kolonia,colônia,colonie,colonia,koloni
clock,rellotge,reloj,Uhr,l'horloge,zegar,relógio,ceas,orologio,klocka
mine,mina,mía,Mine,mien,moje,minha,A mea,il mio,mina
tie,empat,Corbata,binden,cravate,krawat,gravata,cravată,legare,slips
enter,entrar,ingresar,Eintreten,Entrer,wejść,digitar,introduce,accedere,stiga på
major,important,importante,Haupt,Majeur,poważny,formar-se,major,principale,större
fresh,fresc,nuevo,frisch,Frais,świeży,fresco,proaspăt,fresco,färsk
search,cerca,búsqueda,Suche,chercher,Szukaj,procurar,căutare,ricerca,Sök
send,enviar,enviar,senden,envoyer,wysłać,mandar,trimite,inviare,skicka
yellow,groc,amarillo,gelb,jaune,żółty,amarelo,galben,giallo,gul
gun,arma,pistola,Pistole,pistolet,pistolet,arma de fogo,armă,pistola,pistol
allow,permetre,permitir,ermöglichen,Autoriser,umożliwić,permitir,permite,permettere,tillåta
print,print,impresión,drucken,imprimer,wydrukować,imprimir,imprimare,Stampa,skriva ut
dead,morts,muerto,tot,morte,nie żyje,morto,mort,morto,död
spot,lloc,lugar,Stelle,endroit,miejsce,ver,loc,macchiare,fläck
desert,desert,Desierto,Wüste,désert,pustynia,deserto,deşert,deserto,öken-
suit,vestit,traje,passen,costume,garnitur,Traje,costum,completo da uomo,kostym
current,actual,Actual,aktuell,courant,obecny,atual,actual,attuale,nuvarande
lift,ascensor,levantar,Aufzug,lever,winda,levantar,lift,sollevare,hiss
rose,rosa,rosa,Rose,Rose,Róża,rosa,Trandafir,rosa,reste sig
arrive,arribar,llegar,ankommen,arriver,przyjechać,chegar,ajunge,arrivare,anlända
master,màster,Maestro,Meister,Maître,gospodarz,mestre,maestru,maestro,bemästra
track,pista,pista,Spur,Piste,tor,acompanhar,urmări,traccia,Spår
parent,pare,padre,Elternteil,parent,rodzic,pai,mamă,genitore,förälder
shore,riba,costa,Ufer,rive,Wybrzeże,costa,ţărm,costa,Strand
division,divisió,división,Aufteilung,division,podział,divisão,Divizia,divisione,division
sheet,full,sábana,Blech,feuille,arkusz,Folha,foaie,foglio,ark
substance,substància,sustancia,Substanz,substance,substancja,substância,substanţă,sostanza,ämne
favor,afavorir,favor,favorisieren,favoriser,przychylność,Favor,favoare,favore,förmån
connect,connectar,conectar,verbinden,relier,łączyć,conectar,conectați,Collegare,ansluta
post,missatge,correo,Post,Publier,Poczta,publicar,post,inviare,posta
spend,passar,gastar,verbringen,dépenser,spędzić,gasta,petrece,Spendere,spendera
chord,acord,acorde,Akkord,accord,akord,acorde,coardă,accordo,ackord
fat,greix,grasa,fett,gros,tłuszcz,gordo,gras,Grasso,fett
glad,content,contento,froh,content,zadowolony,alegre,bucuros,lieto,glad
original,originals,original,Original,original,oryginał,original,original,originale,original-
share,quota,Cuota,Teilen,partager,dzielić,compartilhar,acțiune,Condividere,dela med sig
station,estació,estación,Bahnhof,station,stacja,estação,statie,stazione,station
dad,pare,papá,Papa,papa,tata,Papai,tata,papà,pappa
bread,pa,pan de molde,brot,pain,chleb,pão,pâine,pane,bröd
charge,cobrar,cobrar,aufladen,charge,opłata,carregar,încărca,carica,avgift
proper,adequada,correcto,richtig,correct,właściwy,apropriado,propriu -zis,corretto,rätt
bar,bar,bar,Bar,bar,bar,bar,bar,sbarra,bar
offer,oferta,oferta,Angebot,offrir,oferta,oferta,oferi,offerta,erbjudande
segment,segment,segmento,Segment,segment,człon,segmento,segment,segmento,segmentet
slave,esclau,esclavo,Sklave,trimer,niewolnik,escravo,sclav,schiavo,slav
duck,ànec,pato,Ente,canard,kaczka,pato,rață,anatra,Anka
instant,instantània,instante,sofortig,instantané,natychmiastowy,instante,instant,immediato,omedelbar
market,mercat,mercado,Markt,marché,rynek,mercado,piaţă,mercato,marknadsföra
degree,grau,la licenciatura,Grad,diplôme,stopień,grau,grad,livello,grad
populate,poblar,poblar,bevölkern,peupler,zaludniać,preencher,popula,popolare,befolka
chick,chick,polluelo,Küken,poussin,pisklę,Chick,gagică,pulcino,brud
dear,estimada,Estimado,Liebling,chère,droga,caro,dragă,caro,Kära
enemy,enemic,enemigo,Feind,ennemi,wróg,inimigo,dusman,nemico,fiende
reply,respondre,respuesta,Antwort,Réponse,Odpowiadać,responder,răspuns,rispondere,svar
drink,beguda,beber,Getränk,boisson,drink,beber,băutură,bere,dryck
occur,produir,ocurrir,geschehen,se produire,zdarzać się,ocorrer,apar,verificarsi,inträffa
support,suport,apoyo,Unterstützung,Support,Pomoc,apoio,a sustine,sostegno,Stöd
speech,discurs,discurso,Rede,parole,przemówienie,Fala,vorbire,discorso,Tal
nature,naturalesa,naturaleza,Natur,la nature,Natura,natureza,natură,natura,natur
range,gamma,rango,Angebot,intervalle,zasięg,variar,gamă,gamma,räckvidd
steam,vapor,vapor,Dampf,vapeur,parowy,vapor,aburi,vapore,ånga
motion,moviment,movimiento,Bewegung,mouvement,ruch,movimento,mişcare,movimento,rörelse
path,camí,sendero,Weg,chemin,ścieżka,caminho,cale,sentiero,väg
liquid,líquid,líquido,Flüssigkeit,liquide,płyn,líquido,lichid,liquido,flytande
log,log,Iniciar sesión,Protokoll,Journal,dziennik,registro,Buturuga,tronco d'albero,logga
meant,significat,quiso decir,gemeint,censé,oznaczał,significou,însemnat,significava,avsiktlig
quotient,quocient,cociente,Quotient,quotient,iloraz,quociente,coeficient,quoziente,kvot
teeth,dents,dientes,Zähne,les dents,zęby,dentes,dinți,denti,tänder
shell,intèrpret,caparazón,Hülse,coquille,powłoka,Concha,coajă,guscio,skal
neck,coll,cuello,Nacken,cou,szyja,pescoço,gât,collo,nacke
oxygen,oxigen,oxígeno,Sauerstoff,oxygène,tlen,oxigênio,oxigen,ossigeno,syre
sugar,sucre,azúcar,Zucker,du sucre,cukier,açúcar,zahăr,zucchero,socker
death,mort,muerte,Tod,décès,śmierć,morte,moarte,Morte,död
pretty,bastant,bonita,hübsch,jolie,ładny,bonito,frumos,bello,Söt
skill,habilitat,habilidad,Können,compétence,umiejętność,habilidade,abilitate,abilità,skicklighet
women,dones,mujeres,Frauen,femmes,kobiety,mulheres,femei,donne,kvinnor
season,temporada,temporada,Jahreszeit,saison,pora roku,estação,sezon,stagione,säsong
solution,solució,solución,Lösung,la solution,rozwiązanie,solução,soluţie,soluzione,lösning
magnet,imant,imán,Magnet,aimant,magnes,magnético,magnet,magnete,magnet
silver,plata,plata,Silber-,argent,srebro,prata,argint,d'argento,silver-
thank,gràcies,gracias,danken,remercier,dziękować,obrigado,Mulțumesc,Grazie,tacka
branch,branca,rama,Zweig,bifurquer,oddział,ramo,ramură,ramo,gren
match,partit,juego,passen,match,mecz,Combine,Meci,incontro,match
suffix,sufix,sufijo,Suffix,suffixe,przyrostek,sufixo,sufix,suffisso,ändelse
especially,especialment,especialmente,besonders,surtout,szczególnie,especialmente,mai ales,specialmente,framförallt
fig,figa,higo,Feige,figure,Figa,FIG,Fig,Figura,fikon
afraid,por,atemorizado,besorgt,peur,przestraszony,com medo,frică,paura,rädd
huge,enorme,enorme,riesig,énorme,olbrzymi,enorme,imens,enorme,enorm
sister,germana,hermana,Schwester,sœur,siostra,irmã,sora,sorella,syster
steel,acer,acero,Stahl,acier,stal,aço,oţel,acciaio,stål
discuss,discutir,conversar,diskutieren,discuter,omówić,discutir,discuta,discutere,diskutera
forward,endavant,delantero,nach vorne,vers l'avant,Naprzód,frente,redirecţiona,inoltrare,fram-
similar,similars,similar,ähnlich,similaire,podobny,semelhante,similar,simile,liknande
guide,guiar,guía,führen,guide,przewodnik,guia,ghid,guida,guide
experience,experiència,experiencia,Erfahrung,vivre,doświadczenie,experiência,experienţă,Esperienza,erfarenhet
score,puntuació,puntaje,Punktzahl,score,wynik,pontuação,Scor,punto,Göra
apple,poma,manzana,Apfel,Pomme,jabłko,maçã,măr,mela,äpple
bought,comprat,comprado,gekauft,acheté,kupił,comprado,cumparat,comprato,köpt
led,LED,dirigió,LED,LED,doprowadziło,conduziu,LED,portato,led
pitch,pitch,tono,Tonhöhe,terrain,poziom,tom,pas,intonazione,tonhöjd
coat,abric,Saco,Mantel,manteau,płaszcz,casaco,palton,cappotto,täcka
mass,massa,masa,Masse,Masse,masa,massa,masa,messa,massa
card,targeta,tarjeta,Karte,carte,karta,cartão,card,carta,kort
band,banda,banda,Band,bande,pasmo,banda,grup,gruppo musicale,band
rope,corda,soga,Seil,corde,lina,corda,frânghie,corda,rep
slip,lliscament,deslizar,Unterhose,caleçon,poślizg,escorregar,alunecare,scontrino,glida
win,victòria,victoria,gewinnen,gagner,wygrać,ganhar,victorie,vincita,vinna
dream,somiar,sueño,Traum,rêver,śnić,Sonhe,vis,sognare,dröm
evening,nit,tardecita,Abend,soirée,wieczór,tarde,seară,sera,kväll
condition,condició,condición,Bedingung,condition,stan,doença,condiție,condizione,skick
feed,feed,alimento,Einspeisung,nourrir,karmić,alimentação,a hrani,alimentazione,utfodra
tool,eina,herramienta,Werkzeug,outil,narzędzie,ferramenta,instrument,attrezzo,verktyg
basic,bàsica,básico,Basic,de base,podstawowy,básico,de bază,di base,grundläggande
smell,olor,oler,Geruch,sentir,zapach,cheiro,miros,odore,lukt
valley,vall,Valle,Senke,vallée,dolina,vale,vale,valle,dal
nor,ni,ni,Noch,ni,ani,nem,nici,né,inte heller
double,doble,doble,doppelt,double,podwójnie,em dobro,dubla,Doppio,dubbel
seat,seient,asiento,Sitz,siège,siedzenie,assento,scaun,posto a sedere,sittplats
continue,continuar,Seguir,fortsetzen,Continuez,kontynuować,Prosseguir,continua,Continua,Fortsätta
block,bloc,bloquear,Block,bloquer,blok,quadra,bloc,bloccare,blockera
chart,taula,cuadro,Diagramm,graphique,wykres,gráfico,diagramă,grafico,Diagram
hat,barret,sombrero,Hut,chapeau,kapelusz,chapéu,pălărie,cappello,hatt
sell,vendre,vender,verkaufen,vendre,Sprzedać,vender,vinde,vendere,sälja
success,èxit,éxito,Erfolg,Succès,powodzenie,sucesso,succes,successo,Framgång
company,empresa,empresa,Gesellschaft,compagnie,firma,companhia,companie,azienda,företag
subtract,restar,sustraer,subtrahieren,soustraire,odejmować,subtrair,scădea,sottrarre,subtrahera
event,esdeveniment,evento,Veranstaltung,un événement,wydarzenie,evento,eveniment,evento,händelse
particular,particular,especial,besondere,particulier,konkretny,especial,special,particolare,särskild
deal,acord,acuerdo,handeln,accord,sprawa,acordo,afacere,affare,handla
swim,nedar,nadar,schwimmen,baignade,pływać,nadar,înot,nuotare,simma
term,termini,término,Begriff,terme,termin,prazo,termen,termine,termin
opposite,oposada,opuesto,Gegenteil,opposé,naprzeciwko,oposto,opus,di fronte,motsatt
wife,dona,esposa,Ehefrau,épouse,żona,esposa,soție,moglie,fru
shoe,sabata,zapato,Schuh,chaussure,but,sapato,pantof,scarpa,sko
shoulder,espatlla,hombro,Schulter,épaule,ramię,ombro,umăr,spalla,axel
spread,propagació,untado,Verbreitung,se propager,rozpiętość,espalhar,răspândire,differenza,spridning
arrange,organitzar,arreglar,arrangieren,organiser,zorganizować,arranjo,aranja,organizzare,ordna
camp,campament,acampar,Lager,camp,obóz,acampamento,tabără,campo,läger
invent,inventar,inventar,erfinden,inventer,wymyślać,inventar,inventa,inventare,uppfinna
cotton,cotó,algodón,Baumwolle,coton,bawełna,algodão,bumbac,cotone,bomull
born,born,nacido,geboren,née,urodzić się,nascido,născut,Nato,född
determine,determinar,determinar,bestimmen,déterminer,określać,determinar,a determina,determinare,bestämma
quart,quart,cuarto de galón,Quart,litre,kwarta,Quart,sfert,Quart,quart
nine,còlera,nueve,neun,neuf,dziewięć,nove,nouă,nove,nio
truck,camió,camión,LKW,un camion,ciężarówka,caminhão,camion,camion,lastbil
noise,soroll,ruido,Lärm,bruit,hałas,ruído,zgomot,rumore,ljud
level,nivell,nivel,eben,niveau,poziom,nível,nivel,livello,nivå
chance,oportunitat,oportunidad,Chance,chance,szansa,chance,şansă,opportunità,chans
gather,reunir,recolectar,versammeln,rassembler,zebrać,reunir,aduna,mettere insieme,samla
shop,botiga,tienda,Geschäft,magasin,sklep,fazer compras,magazin,negozio,affär
stretch,estirament,tramo,strecken,extensible,rozciągać się,esticar,întinde,stirata,sträcka
throw,llançar,lanzar,Wurf,jeter,rzucić,lançar,arunca,gettare,kasta
shine,brillantor,brillar,scheinen,briller,połysk,brilhar,strălucire,splendore,glans
property,propietat,propiedad,Eigentum,propriété,własność,propriedade,proprietate,proprietà,fast egendom
column,columna,columna,Säule,colonne,kolumna,coluna,coloană,colonna,kolumn
molecule,molècula,molécula,Molekül,molécule,cząsteczka,molécula,moleculă,molecola,molekyl
select,seleccioneu,Seleccione,auswählen,sélectionner,Wybierz,Selecione,Selectați,Selezionare,Välj
wrong,mal,equivocado,falsch,mauvais,zło,errado,gresit,sbagliato,fel
gray,gris,gris,grau,grise,szary,cinzento,gri,grigio,grå
repeat,repeteixi,repetir,wiederholen,répéter,powtarzać,repetir,repeta,ripetere,upprepa
require,requerir,requerir,benötigen,exiger,wymagać,exigir,necesită,richiedere,behöva
broad,ampli,amplio,breit,vaste,szeroki,largo,larg,ampio,bred
prepare,preparar,preparar,vorbereiten,préparer,przygotować,preparar,a pregati,preparare,förbereda
salt,sal,sal,Salz,sel,Sól,sal,sare,sale,salt-
nose,nas,nariz,Nase,nez,nos,nariz,nas,naso,näsa
plural,plural,plural,Plural-,pluriel,mnogi,plural,plural,plurale,flertal
anger,còlera,enfado,Wut,colère,gniew,raiva,furie,la rabbia,ilska
claim,reclamació,reclamar,Klage,réclamer,prawo,alegar,Revendicare,reclamo,krav
continent,continent,continente,Kontinent,continent,kontynent,continente,continent,continente,kontinent
