angles,catala,espanyol,alemany,frances,polones,portugues,rus,italia,suec
soldier,soldat,soldado,Soldat,soldat,żołnierz,soldado,солдат,soldato,soldat
process,procés,proceso,Prozess,traiter,proces,processo,процесс,processi,bearbeta
operate,operar,funcionar,arbeiten,fonctionner,obsługiwać,operar,работать,operare,fungera
practice,pràctica,práctica,trainieren,pratique,ćwiczyć,prática,упражняться,la pratica,öva
separate,separada,separado,getrennt,séparé,oddzielny,separado,отдельный,separato,separat
difficult,difícil,difícil,schwierig,difficile,trudny,difícil,сложно,difficile,svår
doctor,metge,médico,Arzt,docteur,lekarz,médico,доктор,medico,läkare
please,plau,por favor,bitte,s'il vous plaît,Proszę,por favor,пожалуйста,per favore,snälla du
protect,protegir,proteger,beschützen,protéger,chronić,proteger,защищать,proteggere,skydda
noon,migdia,mediodía,Mittag,midi,południe,meio-dia,полдень,mezzogiorno,middag
crop,cultius,cultivo,Ernte,recadrer,przyciąć,colheita,обрезать,Ritaglia,beskära
modern,moderna,moderno,modern,moderne,nowoczesny,moderno,современный,moderno,modern
element,element,elemento,Element,élément,element,elemento,элемент,elemento,element
hit,colpejar,pegar,Schlag,succès,uderzyć,acertar,хит,colpo,träffa
student,estudiant,alumno,Schüler,étudiant,student,aluna,ученик,alunno,studerande
corner,cantonada,esquina,Ecke,coin,narożnik,canto,угол,angolo,hörn
party,partit,fiesta,Party,faire la fête,przyjęcie,Festa,партия,festa,fest
supply,subministrament,suministro,liefern,la fourniture,dostarczać,fornecer,поставлять,la fornitura,tillförsel
whose,el,cuyo,Deren,à qui,którego,de quem,чья,il cui,vars
locate,localitzar,localizar,Lokalisieren,Localiser,Znajdź,localizar,найти,individuare,lokalisera
ring,anell,anillo,Ring,bague,dzwonić,anel,звенеть,squillo,ringa
character,caràcter,personaje,Charakter,personnage,postać,personagem,персонаж,carattere,karaktär
insect,insectes,insecto,Insekt,insecte,owad,inseto,насекомое,insetto,insekt
caught,capturat,capturado,erwischt,attrapé,złapany,apanhado,пойманный,catturato,fångad
period,període,período,Zeitraum,période,Kropka,período,период,periodo,period
indicate,indicar,indicar,angeben,indiquer,wskazać,indicar,указывать,indicare,ange
radio,ràdio,radio,Radio,radio,radio,rádio,радио,Radio,radio
spoke,parlar,habló,gesprochen,parlait,przemówił,falou,говорил,ha parlato,eker
atom,àtom,átomo,Atom,atome,atom,átomo,атом,atomo,atom
human,humà,humano,Mensch,Humain,człowiek,humano,человек,umano,mänsklig
history,història,historia,Geschichte,l'histoire,historia,história,история,storia,historia
effect,efecte,efecto,Wirkung,effet,efekt,efeito,эффект,effetto,effekt
electric,elèctrica,eléctrico,elektrisch,électrique,elektryczny,elétrico,электрический,elettrico,elektrisk
expect,esperar,suponer,erwarten von,attendre,oczekiwać,Espero,ожидать,aspettare,förvänta
bone,os,hueso,Knochen,os,kość,osso,кость,osso,ben
rail,ferrocarril,carril,Schiene,rail,szyna,trilho,железнодорожный,rotaia,järnväg
imagine,imaginar,imaginar,vorstellen,imaginer,wyobrażać sobie,Imagine,представить,immaginare,tänka
provide,proporcionar,proveer,zur Verfügung stellen,apporter,dostarczać,providenciar,предоставлять,fornire,förse
agree,acord,aceptar,zustimmen,Je suis d'accord,Zgodzić się,aceita,соглашаться,essere d'accordo,hålla med
thus,pertant,de este modo,daher,Donc,zatem,portanto,таким образом,così,Således
gentle,suau,amable,sanft,doux,delikatny,□ Gentil,нежный,gentile,mild
woman,dona,mujer,Frau,femme,kobieta,mulher,женщина,donna,kvinna
captain,capità,capitán,Kapitän,capitaine,kapitan,capitão,капитан,Capitano,kapten
guess,endevinar,adivinar,erraten,deviner,zgadywać,acho,предполагать,indovinare,gissa
necessary,necessari,necesario,notwendig,nécessaire,niezbędny,necessário,необходимый,necessario,nödvändig
sharp,agut,agudo,Scharf,tranchant,ostry,afiado,острый,affilato,skarp
wing,ala,ala,Flügel,aile,skrzydło,asa,крыло,ala,vinge
create,crear,crear,schaffen,créer,Stwórz,crio,Создайте,creare,skapa
neighbor,veí,Vecino,Nachbar,voisine,sąsiad,vizinho,сосед,vicino di casa,granne
wash,rentat,lavar,waschen,lavage,myć się,lavagem,мыть,lavare,tvätta
bat,bat,murciélago,Schläger,chauve souris,nietoperz,bastão,летучая мышь,pipistrello,fladdermus
rather,lloc,bastante,eher,plutôt,raczej,em vez de,скорее,piuttosto,snarare
crowd,multitud,multitud,Menge,foule,tłum,multidão,толпа,folla,folkmassan
corn,blatdemoro,maíz,Mais,maïs,kukurydza,milho,кукуруза,Mais,majs
compare,comparar,comparar,vergleichen,comparer,porównywać,comparar,сравнивать,confrontare,jämföra
poem,poema,poema,Gedicht,poème,wiersz,poema,стих,poesia,dikt
string,string,cuerda,Saite,chaîne de caractères,strunowy,corda,нить,corda,sträng
bell,campana,campana,Glocke,cloche,dzwon,Sino,колокол,campana,klocka
depend,dependrà,depender,abhängen,dépendre,zależeć,depender,зависеть,dipendere,bero
meat,carn,carne,Fleisch,Viande,mięso,eu no,мясо,la carne,kött
rub,rub,frotar,reiben,frotter,pocierać,esfregar,натирать,strofinare,gnugga
tube,tub,tubo,Rohr,tube,rura,tubo,трубка,tubo,rör
famous,famosa,famoso,berühmt,célèbre,słynny,famoso,известный,famoso,känd
dollar,dòlar,dólar,Dollar,dollar,dolar,dólar,доллар,dollaro,dollar
stream,corrent,corriente,Strom,flux,strumień,fluxo,ручей,flusso,ström
fear,por,miedo,Furcht,craindre,strach,temer,страх,paura,rädsla
sight,vista,visión,Sicht,vue,widok,visão,зрение,vista,syn
thin,prima,delgada,dünn,mince,cienki,fino,тонкий,sottile,tunn
triangle,triangle,triángulo,Dreieck,Triangle,trójkąt,triângulo,треугольник,triangolo,triangel
planet,planeta,planeta,Planet,planète,planeta,planeta,планета,pianeta,planet
hurry,pressa,apuro,sich beeilen,dépêche toi,spieszyć się,pressa,торопиться,fretta,skynda
chief,cap,jefe,Chef,chef,szef,chefe,главный,capo,chef
colony,colònia,colonia,Kolonie,colonie,kolonia,colônia,колония,colonia,koloni
clock,rellotge,reloj,Uhr,l'horloge,zegar,relógio,Часы,orologio,klocka
mine,mina,mía,Mine,mien,moje,minha,мой,il mio,mina
tie,empat,Corbata,binden,cravate,krawat,gravata,галстук,legare,slips
enter,entrar,ingresar,Eintreten,Entrer,wejść,digitar,войти,accedere,stiga på
major,important,importante,Haupt,Majeur,poważny,formar-se,главный,principale,större
fresh,fresc,nuevo,frisch,Frais,świeży,fresco,свежий,fresco,färsk
search,cerca,búsqueda,Suche,chercher,Szukaj,procurar,поиск,ricerca,Sök
send,enviar,enviar,senden,envoyer,wysłać,mandar,Отправить,inviare,skicka
yellow,groc,amarillo,gelb,jaune,żółty,amarelo,желтый,giallo,gul
gun,arma,pistola,Pistole,pistolet,pistolet,arma de fogo,пистолет,pistola,pistol
allow,permetre,permitir,ermöglichen,Autoriser,umożliwić,permitir,разрешать,permettere,tillåta
print,print,impresión,drucken,imprimer,wydrukować,imprimir,Распечатать,Stampa,skriva ut
dead,morts,muerto,tot,morte,nie żyje,morto,мертвых,morto,död
spot,lloc,lugar,Stelle,endroit,miejsce,ver,место,macchiare,fläck
desert,desert,Desierto,Wüste,désert,pustynia,deserto,пустыня,deserto,öken-
suit,vestit,traje,passen,costume,garnitur,Traje,подходить,completo da uomo,kostym
current,actual,Actual,aktuell,courant,obecny,atual,Текущий,attuale,nuvarande
lift,ascensor,levantar,Aufzug,lever,winda,levantar,поднимать,sollevare,hiss
rose,rosa,rosa,Rose,Rose,Róża,rosa,Роза,rosa,reste sig
arrive,arribar,llegar,ankommen,arriver,przyjechać,chegar,прибыть,arrivare,anlända
master,màster,Maestro,Meister,Maître,gospodarz,mestre,мастер,maestro,bemästra
track,pista,pista,Spur,Piste,tor,acompanhar,отслеживать,traccia,Spår
parent,pare,padre,Elternteil,parent,rodzic,pai,родительский,genitore,förälder
shore,riba,costa,Ufer,rive,Wybrzeże,costa,берег,costa,Strand
division,divisió,división,Aufteilung,division,podział,divisão,разделение,divisione,division
sheet,full,sábana,Blech,feuille,arkusz,Folha,лист,foglio,ark
substance,substància,sustancia,Substanz,substance,substancja,substância,вещество,sostanza,ämne
favor,afavorir,favor,favorisieren,favoriser,przychylność,Favor,услуга,favore,förmån
connect,connectar,conectar,verbinden,relier,łączyć,conectar,соединять,Collegare,ansluta
post,missatge,correo,Post,Publier,Poczta,publicar,почта,inviare,posta
spend,passar,gastar,verbringen,dépenser,spędzić,gasta,проводить,Spendere,spendera
chord,acord,acorde,Akkord,accord,akord,acorde,аккорд,accordo,ackord
fat,greix,grasa,fett,gros,tłuszcz,gordo,толстый,Grasso,fett
glad,content,contento,froh,content,zadowolony,alegre,радостный,lieto,glad
original,originals,original,Original,original,oryginał,original,оригинал,originale,original-
share,quota,Cuota,Teilen,partager,dzielić,compartilhar,Поделиться,Condividere,dela med sig
station,estació,estación,Bahnhof,station,stacja,estação,станция,stazione,station
dad,pare,papá,Papa,papa,tata,Papai,папа,papà,pappa
bread,pa,pan de molde,brot,pain,chleb,pão,хлеб,pane,bröd
charge,cobrar,cobrar,aufladen,charge,opłata,carregar,обвинение,carica,avgift
proper,adequada,correcto,richtig,correct,właściwy,apropriado,правильный,corretto,rätt
bar,bar,bar,Bar,bar,bar,bar,бар,sbarra,bar
offer,oferta,oferta,Angebot,offrir,oferta,oferta,предложение,offerta,erbjudande
segment,segment,segmento,Segment,segment,człon,segmento,сегмент,segmento,segmentet
slave,esclau,esclavo,Sklave,trimer,niewolnik,escravo,раб,schiavo,slav
duck,ànec,pato,Ente,canard,kaczka,pato,утка,anatra,Anka
instant,instantània,instante,sofortig,instantané,natychmiastowy,instante,мгновенный,immediato,omedelbar
market,mercat,mercado,Markt,marché,rynek,mercado,рынок,mercato,marknadsföra
degree,grau,la licenciatura,Grad,diplôme,stopień,grau,степень,livello,grad
populate,poblar,poblar,bevölkern,peupler,zaludniać,preencher,заполнять,popolare,befolka
chick,chick,polluelo,Küken,poussin,pisklę,Chick,птенца,pulcino,brud
dear,estimada,Estimado,Liebling,chère,droga,caro,Уважаемые,caro,Kära
enemy,enemic,enemigo,Feind,ennemi,wróg,inimigo,враг,nemico,fiende
reply,respondre,respuesta,Antwort,Réponse,Odpowiadać,responder,Ответить,rispondere,svar
drink,beguda,beber,Getränk,boisson,drink,beber,напиток,bere,dryck
occur,produir,ocurrir,geschehen,se produire,zdarzać się,ocorrer,происходить,verificarsi,inträffa
support,suport,apoyo,Unterstützung,Support,Pomoc,apoio,поддерживать,sostegno,Stöd
speech,discurs,discurso,Rede,parole,przemówienie,Fala,речь,discorso,Tal
nature,naturalesa,naturaleza,Natur,la nature,Natura,natureza,природа,natura,natur
range,gamma,rango,Angebot,intervalle,zasięg,variar,диапазон,gamma,räckvidd
steam,vapor,vapor,Dampf,vapeur,parowy,vapor,готовить на пару,vapore,ånga
motion,moviment,movimiento,Bewegung,mouvement,ruch,movimento,движение,movimento,rörelse
path,camí,sendero,Weg,chemin,ścieżka,caminho,дорожка,sentiero,väg
liquid,líquid,líquido,Flüssigkeit,liquide,płyn,líquido,жидкость,liquido,flytande
log,log,Iniciar sesión,Protokoll,Journal,dziennik,registro,журнал,tronco d'albero,logga
meant,significat,quiso decir,gemeint,censé,oznaczał,significou,имел ввиду,significava,avsiktlig
quotient,quocient,cociente,Quotient,quotient,iloraz,quociente,коэффициент,quoziente,kvot
teeth,dents,dientes,Zähne,les dents,zęby,dentes,зубы,denti,tänder
shell,intèrpret,caparazón,Hülse,coquille,powłoka,Concha,оболочка,guscio,skal
neck,coll,cuello,Nacken,cou,szyja,pescoço,шея,collo,nacke
oxygen,oxigen,oxígeno,Sauerstoff,oxygène,tlen,oxigênio,кислород,ossigeno,syre
sugar,sucre,azúcar,Zucker,du sucre,cukier,açúcar,сахар,zucchero,socker
death,mort,muerte,Tod,décès,śmierć,morte,смерть,Morte,död
pretty,bastant,bonita,hübsch,jolie,ładny,bonito,Симпатичная,bello,Söt
skill,habilitat,habilidad,Können,compétence,umiejętność,habilidade,навык,abilità,skicklighet
women,dones,mujeres,Frauen,femmes,kobiety,mulheres,женщины,donne,kvinnor
season,temporada,temporada,Jahreszeit,saison,pora roku,estação,время года,stagione,säsong
solution,solució,solución,Lösung,la solution,rozwiązanie,solução,решение,soluzione,lösning
magnet,imant,imán,Magnet,aimant,magnes,magnético,магнит,magnete,magnet
silver,plata,plata,Silber-,argent,srebro,prata,Серебряный,d'argento,silver-
thank,gràcies,gracias,danken,remercier,dziękować,obrigado,благодарить,Grazie,tacka
branch,branca,rama,Zweig,bifurquer,oddział,ramo,ответвляться,ramo,gren
match,partit,juego,passen,match,mecz,Combine,соответствие,incontro,match
suffix,sufix,sufijo,Suffix,suffixe,przyrostek,sufixo,суффикс,suffisso,ändelse
especially,especialment,especialmente,besonders,surtout,szczególnie,especialmente,особенно,specialmente,framförallt
fig,figa,higo,Feige,figure,Figa,FIG,Рис,Figura,fikon
afraid,por,atemorizado,besorgt,peur,przestraszony,com medo,боюсь,paura,rädd
huge,enorme,enorme,riesig,énorme,olbrzymi,enorme,огромный,enorme,enorm
sister,germana,hermana,Schwester,sœur,siostra,irmã,сестра,sorella,syster
steel,acer,acero,Stahl,acier,stal,aço,стали,acciaio,stål
discuss,discutir,conversar,diskutieren,discuter,omówić,discutir,обсуждать,discutere,diskutera
forward,endavant,delantero,nach vorne,vers l'avant,Naprzód,frente,вперед,inoltrare,fram-
similar,similars,similar,ähnlich,similaire,podobny,semelhante,похожий,simile,liknande
guide,guiar,guía,führen,guide,przewodnik,guia,руководство,guida,guide
experience,experiència,experiencia,Erfahrung,vivre,doświadczenie,experiência,опыт,Esperienza,erfarenhet
score,puntuació,puntaje,Punktzahl,score,wynik,pontuação,счет,punto,Göra
apple,poma,manzana,Apfel,Pomme,jabłko,maçã,яблоко,mela,äpple
bought,comprat,comprado,gekauft,acheté,kupił,comprado,купленный,comprato,köpt
led,LED,dirigió,LED,LED,doprowadziło,conduziu,вел,portato,led
pitch,pitch,tono,Tonhöhe,terrain,poziom,tom,подача,intonazione,tonhöjd
coat,abric,Saco,Mantel,manteau,płaszcz,casaco,Пальто,cappotto,täcka
mass,massa,masa,Masse,Masse,masa,massa,масса,messa,massa
card,targeta,tarjeta,Karte,carte,karta,cartão,открытка,carta,kort
band,banda,banda,Band,bande,pasmo,banda,группа,gruppo musicale,band
rope,corda,soga,Seil,corde,lina,corda,веревка,corda,rep
slip,lliscament,deslizar,Unterhose,caleçon,poślizg,escorregar,соскальзывать,scontrino,glida
win,victòria,victoria,gewinnen,gagner,wygrać,ganhar,победить,vincita,vinna
dream,somiar,sueño,Traum,rêver,śnić,Sonhe,мечтать,sognare,dröm
evening,nit,tardecita,Abend,soirée,wieczór,tarde,вечер,sera,kväll
condition,condició,condición,Bedingung,condition,stan,doença,условие,condizione,skick
feed,feed,alimento,Einspeisung,nourrir,karmić,alimentação,подача,alimentazione,utfodra
tool,eina,herramienta,Werkzeug,outil,narzędzie,ferramenta,инструмент,attrezzo,verktyg
basic,bàsica,básico,Basic,de base,podstawowy,básico,базовый,di base,grundläggande
smell,olor,oler,Geruch,sentir,zapach,cheiro,запах,odore,lukt
valley,vall,Valle,Senke,vallée,dolina,vale,долина,valle,dal
nor,ni,ni,Noch,ni,ani,nem,ни,né,inte heller
double,doble,doble,doppelt,double,podwójnie,em dobro,двойной,Doppio,dubbel
seat,seient,asiento,Sitz,siège,siedzenie,assento,сиденье,posto a sedere,sittplats
continue,continuar,Seguir,fortsetzen,Continuez,kontynuować,Prosseguir,Продолжать,Continua,Fortsätta
block,bloc,bloquear,Block,bloquer,blok,quadra,блокировать,bloccare,blockera
chart,taula,cuadro,Diagramm,graphique,wykres,gráfico,диаграмма,grafico,Diagram
hat,barret,sombrero,Hut,chapeau,kapelusz,chapéu,шляпа,cappello,hatt
sell,vendre,vender,verkaufen,vendre,Sprzedać,vender,продавать,vendere,sälja
success,èxit,éxito,Erfolg,Succès,powodzenie,sucesso,успех,successo,Framgång
company,empresa,empresa,Gesellschaft,compagnie,firma,companhia,Компания,azienda,företag
subtract,restar,sustraer,subtrahieren,soustraire,odejmować,subtrair,вычтите,sottrarre,subtrahera
event,esdeveniment,evento,Veranstaltung,un événement,wydarzenie,evento,мероприятие,evento,händelse
particular,particular,especial,besondere,particulier,konkretny,especial,конкретный,particolare,särskild
deal,acord,acuerdo,handeln,accord,sprawa,acordo,иметь дело,affare,handla
swim,nedar,nadar,schwimmen,baignade,pływać,nadar,плавать,nuotare,simma
term,termini,término,Begriff,terme,termin,prazo,срок,termine,termin
opposite,oposada,opuesto,Gegenteil,opposé,naprzeciwko,oposto,противоположный,di fronte,motsatt
wife,dona,esposa,Ehefrau,épouse,żona,esposa,жена,moglie,fru
shoe,sabata,zapato,Schuh,chaussure,but,sapato,обувь,scarpa,sko
shoulder,espatlla,hombro,Schulter,épaule,ramię,ombro,плечо,spalla,axel
spread,propagació,untado,Verbreitung,se propager,rozpiętość,espalhar,распространять,differenza,spridning
arrange,organitzar,arreglar,arrangieren,organiser,zorganizować,arranjo,договариваться,organizzare,ordna
camp,campament,acampar,Lager,camp,obóz,acampamento,лагерь,campo,läger
invent,inventar,inventar,erfinden,inventer,wymyślać,inventar,изобретать,inventare,uppfinna
cotton,cotó,algodón,Baumwolle,coton,bawełna,algodão,хлопок,cotone,bomull
born,born,nacido,geboren,née,urodzić się,nascido,Родился,Nato,född
determine,determinar,determinar,bestimmen,déterminer,określać,determinar,определять,determinare,bestämma
quart,quart,cuarto de galón,Quart,litre,kwarta,Quart,лист,Quart,quart
nine,còlera,nueve,neun,neuf,dziewięć,nove,девять,nove,nio
truck,camió,camión,LKW,un camion,ciężarówka,caminhão,грузовая машина,camion,lastbil
noise,soroll,ruido,Lärm,bruit,hałas,ruído,шум,rumore,ljud
level,nivell,nivel,eben,niveau,poziom,nível,уровень,livello,nivå
chance,oportunitat,oportunidad,Chance,chance,szansa,chance,шанс,opportunità,chans
gather,reunir,recolectar,versammeln,rassembler,zebrać,reunir,собирать,mettere insieme,samla
shop,botiga,tienda,Geschäft,magasin,sklep,fazer compras,магазин,negozio,affär
stretch,estirament,tramo,strecken,extensible,rozciągać się,esticar,протяжение,stirata,sträcka
throw,llançar,lanzar,Wurf,jeter,rzucić,lançar,бросать,gettare,kasta
shine,brillantor,brillar,scheinen,briller,połysk,brilhar,светить,splendore,glans
property,propietat,propiedad,Eigentum,propriété,własność,propriedade,имущество,proprietà,fast egendom
column,columna,columna,Säule,colonne,kolumna,coluna,столбец,colonna,kolumn
molecule,molècula,molécula,Molekül,molécule,cząsteczka,molécula,молекула,molecola,molekyl
select,seleccioneu,Seleccione,auswählen,sélectionner,Wybierz,Selecione,Выбрать,Selezionare,Välj
wrong,mal,equivocado,falsch,mauvais,zło,errado,неправильный,sbagliato,fel
gray,gris,gris,grau,grise,szary,cinzento,серый,grigio,grå
repeat,repeteixi,repetir,wiederholen,répéter,powtarzać,repetir,повторение,ripetere,upprepa
require,requerir,requerir,benötigen,exiger,wymagać,exigir,требовать,richiedere,behöva
broad,ampli,amplio,breit,vaste,szeroki,largo,широкий,ampio,bred
prepare,preparar,preparar,vorbereiten,préparer,przygotować,preparar,подготовить,preparare,förbereda
salt,sal,sal,Salz,sel,Sól,sal,соль,sale,salt-
nose,nas,nariz,Nase,nez,nos,nariz,нос,naso,näsa
plural,plural,plural,Plural-,pluriel,mnogi,plural,множественное число,plurale,flertal
anger,còlera,enfado,Wut,colère,gniew,raiva,злость,la rabbia,ilska
claim,reclamació,reclamar,Klage,réclamer,prawo,alegar,требовать,reclamo,krav
continent,continent,continente,Kontinent,continent,kontynent,continente,континент,continente,kontinent
